Sample_Label,Sample_Number,Sample_type,Identification,Phylum,Depth,Invasive_Native,Calcification,Morphological_Complexity,Zone,Location
Dis.sp-55-1,55,Algae,Distromium sp.,Ochrophyta,55,Native ,Uncalcified,Erect branches from base,Upper Mesophotic,E
Dis.sp-55-2,56,Algae,Distromium sp.,Ochrophyta,55,Native ,Uncalcified,Erect branches from base,Upper Mesophotic,E
Dis.sp-55-3,57,Algae,Distromium sp.,Ochrophyta,55,Native ,Uncalcified,Erect branches from base,Upper Mesophotic,E
Du.ha-55-1,37,Algae,Dudresnaya hawaiiensis,Rhodophyta,55,Native ,Uncalcified,Cylindrical irregularly branches,Upper Mesophotic,C
Du.ha-55-2,38,Algae,Dudresnaya hawaiiensis,Rhodophyta,55,Native ,Uncalcified,Cylindrical irregularly branches,Upper Mesophotic,C
Du.ha-55-3,39,Algae,Dudresnaya hawaiiensis,Rhodophyta,55,Native ,Uncalcified,Cylindrical irregularly branches,Upper Mesophotic,C
Ha.di-1.5-1,79,Algae,Halimeda discoidea,Chlorophyta,1.5,Native ,Calcified,Flattened segments,Shallow Subtidal,H
Ha.di-1.5-2,80,Algae,Halimeda discoidea,Chlorophyta,1.5,Native ,Calcified,Flattened segments,Shallow Subtidal,H
Ha.di-1.5-3,81,Algae,Halimeda discoidea,Chlorophyta,1.5,Native ,Calcified,Flattened segments,Shallow Subtidal,H
Ha.di-22.5-1,88,Algae,Halimeda discoidea,Chlorophyta,22.5,Native ,Calcified,Flattened segments,Subtidal,I
Ha.di-22.5-2,89,Algae,Halimeda discoidea,Chlorophyta,22.5,Native ,Calcified,Flattened segments,Subtidal,I
Ha.di-22.5-3,90,Algae,Halimeda discoidea,Chlorophyta,22.5,Native ,Calcified,Flattened segments,Subtidal,I
Ha.di-27-1,19,Algae,Halimeda discoidea,Chlorophyta,27,Native ,Calcified,Flattened segments,Subtidal,A
Ha.di-27-2,20,Algae,Halimeda discoidea,Chlorophyta,27,Native ,Calcified,Flattened segments,Subtidal,A
Ha.di-27-3,21,Algae,Halimeda discoidea,Chlorophyta,27,Native ,Calcified,Flattened segments,Subtidal,A
Ha.ve-22.5-1,85,Algae,Halimeda velasquezii,Chlorophyta,22.5,Native ,Calcified,Flattened segments,Subtidal,I
Ha.ve-22.5-2,86,Algae,Halimeda velasquezii,Chlorophyta,22.5,Native ,Calcified,Flattened segments,Subtidal,I
Ha.ve-22.5-3,87,Algae,Halimeda velasquezii,Chlorophyta,22.5,Native ,Calcified,Flattened segments,Subtidal,I
Mi.se-1.5-1,76,Algae,Microdictyon setchellianum,Chlorophyta,1.5,Native ,Uncalcified,Coarse mesh ,Shallow Subtidal,H
